kanal_zeitstempel,nachricht_id,text,geparst_json,aktion
2026-09-16T07:08:45+00:00,72022,"Good morning,

Another day, another DAX open. 🇩🇪

I’ll start today’s European session at 08:55 CEST, 5 minutes before the DAX cash open.

I’m flying solo again today and throughout the rest of the week, covering both the European and US sessions.

Once I’m live on Tom’s YouTube channel, I’ll share the link here.

For those who prefer less latency, the low-latency audio feed is available here:
https://divergent.uk/tom/

You can combine the YouTube video with the Divergent audio if your connection allows it.

Comments are disabled on YouTube and in this Telegram group. If you have a question that might be useful to discuss on stream, send me a private Telegram message.

Disclaimer

I trade live using a real account. This is not financial advice, and please do not copy my trades.

There will be winning trades. There will be losing trades. Both are part of trading.

Trading involves risk, and past performance is not indicative of future results. Always do your own research.

Full disclaimer:
https://tradertom.com/disclaimer/

Coffee ready. Charts ready. Whether the DAX is ready to behave itself remains to be seen.

See you at 08:55 CEST.

Karaoke Andi","{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T08:55:24+00:00,72024,https://youtube.com/live/fHwrudTzXuQ?feature=share,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T08:55:31+00:00,72025,Live on all 3,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T09:01:56+00:00,72026,"🇩🇪  GERMAN DAX INDEX
BOUGHT LONG ⬆️️ = 100%

ENTRY = 25519

STOP =25469.3","{""is_signal"": true, ""action"": ""open"", ""index"": ""DAX"", ""direction"": ""long"", ""entry_level"": 25519.0, ""stop_level"": 25469.3, ""target_level"": null}",trade_eroeffnet
2026-09-16T09:03:44+00:00,72027,sl to 481.5,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T09:06:03+00:00,72028,sl to 488.1,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T09:09:42+00:00,72029,"CLOSE TRADE ALERT 

🇩🇪 CLOSING DAX INDEX trade now","{""is_signal"": true, ""action"": ""close"", ""index"": ""DAX"", ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",trade_geschlossen
2026-09-16T09:09:44+00:00,72030,-17,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T09:21:18+00:00,72031,Telegram mutes itself,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
2026-09-16T09:21:23+00:00,72032,I have no influence on that,"{""is_signal"": false, ""action"": null, ""index"": null, ""direction"": null, ""entry_level"": null, ""stop_level"": null, ""target_level"": null}",kein_signal
